	Index	Gene_name	Gene_list_index	Gene_list_name	Ensembl_gene_id	Ensembl_transcript_id	RefSeq_mRNA_id	HGNC_symbol	Alias	Info
201	202	6330442E10Rik	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000046157	ENSMUST00000174697|ENSMUST00000070174|ENSMUST00000174721|ENSMUST00000056660|ENSMUST00000174072|ENSMUST00000174344|ENSMUST00000173095	NM_001364891|NM_178745|NM_001170401|NM_001364892	TMEM229B		UP, ttest: 6.14011906633004e-05
202	203	Gpld1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000021340	ENSMUST00000128315|ENSMUST00000021773|ENSMUST00000223873	NM_008156	GPLD1		UP, ttest: 6.17940868507739e-05
203	204	Slc38a2	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000022462	ENSMUST00000023099|ENSMUST00000229141	NM_175121|NM_001355633	SLC38A2		UP, ttest: 6.199626513439081e-05
204	205	Punc	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000002012	ENSMUST00000114473|ENSMUST00000002087|ENSMUST00000114472|ENSMUST00000129106|ENSMUST00000144187	NM_001199352|NM_001199351|NM_012040	PNCK		UP, ttest: 6.240764708286142e-05
205	206	Stim1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000030987	ENSMUST00000210834|ENSMUST00000211058|ENSMUST00000211141|ENSMUST00000033289|ENSMUST00000210266|ENSMUST00000211457|ENSMUST00000210544|ENSMUST00000209255|ENSMUST00000210761	NM_009287|NM_001400557|NM_001374058|NM_001374060	STIM1		UP, ttest: 6.253081900437471e-05
206	207	Mobkl2a	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000003348	ENSMUST00000220138|ENSMUST00000218090|ENSMUST00000218439|ENSMUST00000003438	NM_172457	MOB3A		UP, ttest: 6.27414882306889e-05
207	208	Adrb2	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000045730	ENSMUST00000053640	NM_007420	ADRB2		UP, ttest: 6.3047786134483e-05
208	209	AB112350	1_astrocytes_dex_up	michor-cells-dex						UP, ttest: 6.53576281935775e-05
209	210	Edn1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000021367	ENSMUST00000021796	NM_010104	EDN1		UP, ttest: 6.759247699047191e-05
210	211	Gm1698	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000074404	ENSMUST00000211230|ENSMUST00000136749				UP, ttest: 6.961793339681971e-05
211	212	Slc24a4	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000041771	ENSMUST00000079020|ENSMUST00000159329|ENSMUST00000235018|ENSMUST00000161325	NM_172152|NM_001362345	SLC24A4		UP, ttest: 7.270049748193891e-05
