Index	Gene_name	Gene_list_index	Gene_list_name	Ensembl_gene_id	Ensembl_transcript_id	RefSeq_mRNA_id	HGNC_symbol	Alias	Info
61	Lbh	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000024063	ENSMUST00000024857|ENSMUST00000148556	NM_029999	LBH		DOWN, ttest: 2.17967247855687e-05
62	Enc1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000041773	ENSMUST00000041623	NM_007930	ENC1		DOWN, ttest: 2.24730749999932e-05
63	Pik3ap1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000025017	ENSMUST00000235978|ENSMUST00000059672	NM_031376	PIK3AP1		DOWN, ttest: 2.26502907237346e-05
64	Arl4c	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000049866	ENSMUST00000159814|ENSMUST00000051236|ENSMUST00000187810	NM_177305	ARL4C		DOWN, ttest: 2.44098509310149e-05
65	Rell1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000047881	ENSMUST00000127314|ENSMUST00000128967|ENSMUST00000154532|ENSMUST00000087327|ENSMUST00000154169	NM_145923	RELL1		DOWN, ttest: 2.47035437547746e-05
66	Mfap3l	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000031647	ENSMUST00000161702|ENSMUST00000161421|ENSMUST00000034066|ENSMUST00000160719	NM_001177882|NM_001293769|NM_027756|NM_001177881	MFAP3L		DOWN, ttest: 2.54120096242034e-05
67	Litaf	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000022500	ENSMUST00000117360|ENSMUST00000162323|ENSMUST00000023143|ENSMUST00000230709|ENSMUST00000140170	NM_019980	LITAF		DOWN, ttest: 2.54940205572523e-05
68	Traf1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000026875	ENSMUST00000201690|ENSMUST00000156479|ENSMUST00000129131|ENSMUST00000201335|ENSMUST00000113064|ENSMUST00000135870|ENSMUST00000028234|ENSMUST00000172159|ENSMUST00000141238	NM_001326601|NM_009421	TRAF1		DOWN, ttest: 2.76387526945397e-05
69	Gpr109a	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000045502	ENSMUST00000057145	NM_030701	HCAR2		DOWN, ttest: 2.8242633330596e-05
70	Rgs4	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000038530	ENSMUST00000132567|ENSMUST00000111357|ENSMUST00000027991	NM_009062	RGS4		DOWN, ttest: 3.0132146131362e-05
71	Ak3l1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000028527	ENSMUST00000106945|ENSMUST00000102780|ENSMUST00000133055|ENSMUST00000155749|ENSMUST00000106946|ENSMUST00000131397|ENSMUST00000151561	NM_009647|NM_001177602|NM_001177605|NM_001177604	AK4		DOWN, ttest: 3.236054319970871e-05
72	2600011E07Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000021986	ENSMUST00000225247|ENSMUST00000239079|ENSMUST00000224957|ENSMUST00000022561	NM_001368677|NM_001164705|NM_028113	AMER2		DOWN, ttest: 3.38657848127237e-05
73	Lmcd1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000057604	ENSMUST00000032376	NM_144799	LMCD1		DOWN, ttest: 3.44650734201095e-05
74	Tlr2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000027995	ENSMUST00000029623	NM_011905	TLR2		DOWN, ttest: 3.76100247546055e-05
75	Lmcd1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000057604	ENSMUST00000032376	NM_144799	LMCD1		DOWN, ttest: 3.97503373898491e-05
76	Ccdc88c	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000021182	ENSMUST00000223235|ENSMUST00000223416|ENSMUST00000233416|ENSMUST00000223509|ENSMUST00000068411|ENSMUST00000085096|ENSMUST00000222204|ENSMUST00000223097	NM_026681|NM_001362342	CCDC88C		DOWN, ttest: 4.10958808270322e-05
77	Mmp11	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000000901	ENSMUST00000132869|ENSMUST00000219728|ENSMUST00000133897|ENSMUST00000120281|ENSMUST00000000924|ENSMUST00000152222	NM_001306184|NM_008606	MMP11		DOWN, ttest: 4.16698411707408e-05
78	Ptx3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000027832	ENSMUST00000029421|ENSMUST00000182521	NM_008987	PTX3		DOWN, ttest: 4.1776695498595e-05
79	scl0015365.1_6	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 4.2235073563305e-05
80	BC020108	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 4.23205602532625e-05
81	Slc15a3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000024737	ENSMUST00000138380|ENSMUST00000131010|ENSMUST00000138263|ENSMUST00000025646	NM_023044	SLC15A3		DOWN, ttest: 4.29264419916547e-05
82	Tmem86a	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000010307	ENSMUST00000211066|ENSMUST00000010451	NM_026436	TMEM86A		DOWN, ttest: 4.4538349814214e-05
83	Wnt5a	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000021994	ENSMUST00000112272|ENSMUST00000146192|ENSMUST00000063465|ENSMUST00000134766|ENSMUST00000134163|ENSMUST00000151929	NM_009524|NM_001256224	WNT5A		DOWN, ttest: 4.5375972057688e-05
84	Tmem22	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000070287	ENSMUST00000189478|ENSMUST00000093792	NM_001101483	SLC35G2		DOWN, ttest: 4.555838204918871e-05
85	Cxcl10	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000034855	ENSMUST00000138169|ENSMUST00000201176|ENSMUST00000118006|ENSMUST00000038816	NM_021274	CXCL10		DOWN, ttest: 4.60003649195569e-05
86	Epb4.1l4a	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000024376	ENSMUST00000237971|ENSMUST00000235242|ENSMUST00000235876|ENSMUST00000025234|ENSMUST00000235393|ENSMUST00000236716|ENSMUST00000236514	NM_013512	EPB41L4A		DOWN, ttest: 4.60023841117434e-05
87	Reck	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000028476	ENSMUST00000030198|ENSMUST00000128463|ENSMUST00000130415	NM_016678	RECK		DOWN, ttest: 4.903155785190111e-05
88	Fadd	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000031077	ENSMUST00000033394	NM_010175	FADD		DOWN, ttest: 4.91358800963101e-05
89	Ptpn6	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000004266	ENSMUST00000173315|ENSMUST00000173647|ENSMUST00000004377|ENSMUST00000173228|ENSMUST00000174265|ENSMUST00000171549|ENSMUST00000172613|ENSMUST00000112484|ENSMUST00000172690|ENSMUST00000174787|ENSMUST00000172770	NM_013545|NM_001077705	PTPN6		DOWN, ttest: 4.97778310076612e-05
90	Ccr5	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000079227	ENSMUST00000171579|ENSMUST00000171499|ENSMUST00000169553|ENSMUST00000168179|ENSMUST00000097855|ENSMUST00000111442	NM_009917	CCR2		DOWN, ttest: 5.362871302350621e-05
91	Dab2ip	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000026883	ENSMUST00000112992|ENSMUST00000156465|ENSMUST00000112983|ENSMUST00000112986|ENSMUST00000065001|ENSMUST00000091010|ENSMUST00000112987|ENSMUST00000124098|ENSMUST00000112981|ENSMUST00000138957|ENSMUST00000135741|ENSMUST00000156669|ENSMUST00000145698	NM_001290640|NM_001114124|NM_001290637|NM_001114125|NM_001001602|NM_001290641|NM_001290639	DAB2IP		DOWN, ttest: 5.420523593118281e-05
92	Nav1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000009418	ENSMUST00000112103|ENSMUST00000189362|ENSMUST00000187311|ENSMUST00000067414|ENSMUST00000190735|ENSMUST00000190130|ENSMUST00000189252|ENSMUST00000040599|ENSMUST00000190298	NM_173437	NAV1		DOWN, ttest: 5.496999376604241e-05
93	Mtap	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000062937	ENSMUST00000058030|ENSMUST00000204571	NM_024433	MTAP		DOWN, ttest: 5.64834574058486e-05
94	Rasl11b	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000049907	ENSMUST00000183995|ENSMUST00000201837|ENSMUST00000051937	NM_026878	RASL11B		DOWN, ttest: 5.69757991111765e-05
